MetaCyc Pathway ID	MetaCyc Pathway	Gene Count	
PWY-7303	3-dimethylallyl-4-hydroxybenzoate biosynthesis	1	
PWY-7312	dTDP-D-&beta;-fucofuranose biosynthesis	2	
PWY-7315	dTDP-<i>N</i>-acetylthomosamine biosynthesis	2	
PWY-7316	dTDP-<i>N</i>-acetylviosamine biosynthesis	2	
PWY-7318	dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucose biosynthesis	2	
PWY-7328	superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	1	
PWY-7335	UDP-<i>N</i>-acetyl-&alpha;-D-mannosaminouronate biosynthesis	1	
PWY-7342	superpathway of nicotine biosynthesis	3	
PWY-7343	UDP-glucose biosynthesis	1	
PWY-7344	UDP-D-galactose biosynthesis	1	
PWY-7346	UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)	1	
PWY-7347	sucrose biosynthesis III	1	
PWY-735	jasmonic acid biosynthesis	1	
PWY-7356	thiamine salvage IV (yeast)	2	
PWY-7357	thiamine formation from pyrithiamine and oxythiamine (yeast)	1	
PWY-7377	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)	1	
PWY-7380	biotin biosynthesis from 8-amino-7-oxononanoate II	3	
PWY-7383	anaerobic energy metabolism (invertebrates, cytosol)	4	
PWY-7384	anaerobic energy metabolism (invertebrates, mitochondrial)	3	
PWY-7385	1,3-propanediol biosynthesis (engineered)	4	
PWY-7387	hypotaurine degradation	1	
PWY-7395	D-galactosamine and <i>N</i>-acetyl-D-galactosamine degradation	2	
PWY-7396	butanol and isobutanol biosynthesis (engineered)	2	
PWY-7400	L-arginine biosynthesis IV (archaebacteria)	10	
PWY-7410	ipsdienol biosynthesis	1	
PWY-7411	superpathway of phosphatidate biosynthesis (yeast)	3	
PWY-7413	dTDP-6-deoxy-&alpha;-D-allose biosynthesis	2	
PWY-7414	dTDP-&alpha;-D-mycaminose biosynthesis	2	
PWY-7417	phospholipid remodeling (phosphatidate, yeast)	1	
PWY-7431	aromatic biogenic amine degradation (bacteria)	1	
PWY-7432	L-phenylalanine biosynthesis III (cytosolic, plants)	1	
PWY-7440	dTDP-&beta;-L-4-<i>epi</i>-vancosamine biosynthesis	2	
PWY-7442	drosopterin and aurodrosopterin biosynthesis	3	
PWY-7456	mannan degradation	5	
PWY-7480	2,3-dihydroxybenzoate degradation	1	
PWY-7492	paspaline biosynthesis	1	
PWY-7509	cardiolipin and phosphatidylethanolamine biosynthesis (<i>Xanthomonas</i>)	1	
PWY-7517	brassicicene C biosynthesis	1	
PWY-7530	&beta;-D-galactosaminyl-(1&rarr;3)-<i>N</i>-acetyl-&alpha;-D-galactosamine biosynthesis	2	
PWY-7533	gliotoxin biosynthesis	1	
PWY-7539	6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	3	
PWY-7560	methylerythritol phosphate pathway II	6	
PWY-7586	&beta;-1,4-D-mannosyl-<i>N</i>-acetyl-D-glucosamine degradation	3	
PWY-7587	oleate biosynthesis III (cyanobacteria)	3	
PWY-7589	palmitoleate biosynthesis III (cyanobacteria)	1	
PWY-7606	docosahexaenoate biosynthesis III (6-desaturase, mammals)	1	
PWY-7626	bacilysin biosynthesis	2	
PWY-7657	dTDP-&beta;-L-digitoxose biosynthesis	2	
PWY-7659	viridicatumtoxin biosynthesis	1	
PWY-7661	protein <I>N</i>-glycosylation (<i>Haloferax volcanii</i>)	2	
PWY-7663	gondoate biosynthesis (anaerobic)	3	
PWY-7664	oleate biosynthesis IV (anaerobic)	3	
PWY-7688	dTDP-D-ravidosamine and dTDP-4-acetyl-D-ravidosamine biosynthesis	2	
PWY-7698	2,5-xylenol and 3,5-xylenol degradation	2	
PWY-7709	(3<i>R</i>)-linalool biosynthesis	1	
PWY-7716	penicillin G and penicillin V biosynthesis	2	
PWY-7720	ophiobolin F biosynthesis	1	
PWY-7721	methyl phomopsenoate biosynthesis	1	
PWY-7724	icosapentaenoate biosynthesis III (8-desaturase, mammals)	2	
PWY-7726	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis (6-desaturase)	1	
PWY-7736	stellatic acid biosynthesis	1	
PWY-882	L-ascorbate biosynthesis I (L-galactose pathway)	4	
PWY0-1021	L-alanine biosynthesis III	2	
PWY0-1261	anhydromuropeptides recycling	12	
PWY0-1264	biotin-carboxyl carrier protein assembly	1	
PWY0-1295	pyrimidine ribonucleosides degradation	2	
PWY0-1296	purine ribonucleosides degradation	3	
PWY0-1299	arginine dependent acid resistance	2	
PWY0-1312	acetate formation from acetyl-CoA I	2	
PWY0-1313	acetate conversion to acetyl-CoA	1	
PWY0-1314	fructose degradation	1	
PWY0-1319	CDP-diacylglycerol biosynthesis II	5	
PWY0-1334	NADH to cytochrome <i>bd</i> oxidase electron transfer I	3	
PWY0-1335	NADH to cytochrome <i>bo</i> oxidase electron transfer I	3	
PWY0-1415	superpathway of heme biosynthesis from uroporphyrinogen-III	1	
PWY0-1433	tetrahydromonapterin biosynthesis	1	
PWY0-1479	tRNA processing	2	
PWY0-1507	biotin biosynthesis from 8-amino-7-oxononanoate I	4	
PWY0-1535	D-serine degradation	1	
PWY0-1545	cardiolipin biosynthesis III	1	
PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)	8	
PWY0-1587	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis	2	
PWY0-166	superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli)	5	
PWY0-321	phenylacetate degradation I (aerobic)	3	
PWY0-661	PRPP biosynthesis II	1	
PWY0-662	PRPP biosynthesis I	1	
PWY0-823	L-arginine degradation III (arginine decarboxylase/agmatinase pathway)	3	
PWY0-862	(5Z)-dodec-5-enoate biosynthesis	3	
PWY0-901	L-selenocysteine biosynthesis I (bacteria)	1	
PWY3O-4106	NAD salvage pathway III	1	
PWY3O-4108	L-tyrosine degradation III	1	
PWY490-3	nitrate reduction VI (assimilatory)	5	
PWY490-4	L-asparagine biosynthesis III (tRNA-dependent)	7	
PWY4FS-7	phosphatidylglycerol biosynthesis I (plastidic)	1	
PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)	1	
PWY4LZ-257	superpathway of fermentation (<i>Chlamydomonas reinhardtii</i>)	4	
PWY66-161	oxidative ethanol degradation III	2	
PWY66-162	ethanol degradation IV	2	
PWY66-21	ethanol degradation II	3	
PWY66-366	flavin biosynthesis IV (mammalian)	1	
PWY66-373	sucrose degradation V (sucrose &alpha;-glucosidase)	3	
PWY66-375	leukotriene biosynthesis	1	
PWY66-387	fatty acid &alpha;-oxidation II	3	
PWY66-388	fatty acid &alpha;-oxidation III	3	
PWY66-389	phytol degradation	4	
PWY66-391	fatty acid &beta;-oxidation VI (peroxisome)	3	
PWY66-398	TCA cycle III (animals)	2	
PWY66-399	gluconeogenesis III	8	
PWY66-422	D-galactose degradation V (Leloir pathway)	2	
PWY6666-2	dopamine degradation	1	
PWYG-321	mycolate biosynthesis	3	
PYRIDNUCSAL-PWY	NAD salvage pathway I	4	
PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate)	5	
PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I	2	
QUINATEDEG-PWY	quinate degradation I	1	
REDCITCYC	TCA cycle VIII (helicobacter)	7	
RIBOKIN-PWY	ribose degradation	1	
RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)	5	
RUMP-PWY	formaldehyde oxidation I	1	
SALVADEHYPOX-PWY	adenosine nucleotides degradation II	2	
SALVPURINE2-PWY	xanthine and xanthosine salvage	2	
SAM-PWY	S-adenosyl-L-methionine biosynthesis	1	
SERDEG-PWY	L-serine degradation	1	
SERSYN-PWY	L-serine biosynthesis	6	
SO4ASSIM-PWY	sulfate reduction I (assimilatory)	1	
SUCROSEUTIL2-PWY	sucrose degradation VII (sucrose 3-dehydrogenase)	1	
SUCSYN-PWY	sucrose biosynthesis I (from photosynthesis)	4	
SUCUTIL-PWY	sucrose degradation I (sucrose phosphotransferase)	1	
SULFMETII-PWY	sulfate reduction II (assimilatory)	2	
TCA	TCA cycle I (prokaryotic)	3	
TEICHOICACID-PWY	teichoic acid (poly-glycerol) biosynthesis	3	
THIOREDOX-PWY	thioredoxin pathway	2	
TRIGLSYN-PWY	diacylglycerol and triacylglycerol biosynthesis	3	
TRNA-CHARGING-PWY	tRNA charging	23	
TRPSYN-PWY	L-tryptophan biosynthesis	5	
TRYPDEG-PWY	L-tryptophan degradation II (via pyruvate)	1	
TYRSYN	L-tyrosine biosynthesis I	3	
UDPNACETYLGALSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II	2	
UDPNAGSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I	4	
VALDEG-PWY	L-valine degradation I	2	
VALSYN-PWY	L-valine biosynthesis	6	
